"site","date","intern_data","start_time","end_time","PG_count","burrow_count","burrow_visit.x","qaqc","mult_count","burrow_name","Gunnel","Sculpin","Other","burrow_visit.y","qaqc_concern"
"Harrington South",2011-07-21,"","7:15","8:45",19,7,0,"","","6A",1,0,0,0,""
"Harrington South",2012-06-24,"","8:55","9:55",17,5,8,"","","6a",2,0,0,2,""
"Harrington South",2012-06-24,"","8:55","9:55",17,5,8,"","","27",0,0,0,3,""
"Harrington South",2012-06-24,"","8:55","9:55",17,5,8,"","","3",2,0,0,0,""
"Harrington South",2012-06-24,"","8:55","9:55",17,5,8,"","","29",0,0,0,1,""
"Harrington South",2012-06-24,"","8:55","9:55",17,5,8,"","","30",0,0,1,2,""
"Harrington South",2012-07-03,"","8:40","9:40",9,6,1,"","","29",0,0,0,1,""
"Harrington South",2012-07-03,"","8:40","9:40",9,6,1,"","","25",1,0,0,0,""
"Harrington South",2012-07-10,"","8:50","9:50",11,6,1,"","","6a",1,0,0,0,""
"Harrington South",2012-07-10,"","8:50","9:50",11,6,1,"","","25",1,0,0,0,""
"Harrington South",2012-07-10,"","8:50","9:50",11,6,1,"","","29",0,0,0,1,""
"Harrington South",2012-07-21,"","9:00","10:00",24,6,0,"","","25",2,0,0,0,""
"Harrington South",2012-07-21,"","9:00","10:00",24,6,0,"","","6a",1,0,0,0,""
"Harrington South",2012-07-30,"","8:15","9:15",8,6,0,"","","29",1,0,0,0,""
"Harrington South",2013-07-01,"","7:45","8:45",9,3,3,"","","6A",0,0,0,1,""
"Harrington South",2013-07-01,"","7:45","8:45",9,3,3,"","","25",0,0,0,1,""
"Harrington South",2013-07-01,"","7:45","8:45",9,3,3,"","","3",0,0,0,1,""
"Harrington South",2013-07-07,"","8:15","9:15",8,3,0,"","","25",0,1,0,0,""
"Harrington South",2013-07-15,"","8:40","9:40",12,3,0,"","","25",1,1,0,0,""
"Harrington South",2013-07-22,"","7:55","8:55",11,3,0,"","","25",1,2,0,0,""
"Harrington South",2013-07-22,"","7:55","8:55",11,3,0,"","","6A",3,1,0,0,""
"Harrington South",2013-08-05,"","8:40","9:40",12,3,0,"","","25",0,3,0,0,""
"Harrington South",2014-06-18,"","8:30","9:30",23,2,2,"","","7",0,0,0,1,""
"Harrington South",2014-06-18,"","8:30","9:30",23,2,2,"","","6",0,0,0,1,""
"Harrington South",2014-07-01,"","7:30","8:30",13,2,3,"","","8",0,0,2,2,""
"Harrington South",2014-07-22,"","8:05","9:05",11,3,0,"","","8",0,1,0,0,""
"Harrington South",2014-07-28,"","7:25","8:25",17,6,9,"","","8",0,1,0,4,""
"Harrington South",2014-07-28,"","7:25","8:25",17,6,9,"","","4",0,0,0,1,""
"Harrington South",2014-07-28,"","7:25","8:25",17,6,9,"","","5",0,0,0,2,""
"Harrington South",2014-07-28,"","7:25","8:25",17,6,9,"","","1",0,0,0,1,""
"Harrington South",2014-07-28,"","7:25","8:25",17,6,9,"","","7",0,0,0,1,""
"Hastie Lake",2008-06-29,"","8:45","9:45",29,1,0,"","","1",1,0,0,0,""
"Hastie Lake",2008-07-06,"","8:15","9:15",30,2,0,"","","3",0,0,0,2,""
"Hastie Lake",2008-07-06,"","8:15","9:15",30,2,0,"","","2",1,0,0,0,""
"Hastie Lake",2008-07-12,"","8:15","9:15",31,2,0,"","","2",0,0,0,1,""
"Hastie Lake",2008-07-16,"","8:40","10:31",26,2,0,"","","2",0,0,0,1,""
"Hastie Lake",2008-07-23,"","8:30","9:45",31,2,0,"","","2",0,1,0,1,""
"Hastie Lake",2009-06-30,"","8:45","9:50",36,5,0,"","","4",0,0,0,1,""
"Hastie Lake",2009-06-30,"","8:45","9:50",36,5,0,"","","3",0,0,0,1,""
"Hastie Lake",2009-06-30,"","8:45","9:50",36,5,0,"","","2",0,0,0,1,""
"Hastie Lake",2009-06-30,"","8:45","9:50",36,5,0,"","","5",0,0,0,1,""
"Hastie Lake",2009-06-30,"","8:45","9:50",36,5,0,"","","1",0,0,0,1,""
"Hastie Lake",2009-07-16,"","8:45","9:55",26,6,0,"","","5",1,0,0,0,""
"Hastie Lake",2009-07-16,"","8:45","9:55",26,6,0,"","","6",0,0,0,1,""
"Hastie Lake",2009-07-21,"","8:50","10:10",30,6,0,"","","6",1,0,0,0,""
"Hastie Lake",2009-07-29,"","8:15","9:30",33,8,0,"","","7",0,0,0,2,""
"Hastie Lake",2009-07-29,"","8:15","9:30",33,8,0,"","","8",0,0,0,4,""
"Hastie Lake",2009-07-29,"","8:15","9:30",33,8,0,"","","6",0,0,0,3,""
"Hastie Lake",2009-08-03,"","8:20","9:10",3,9,0,"","","9",0,0,0,1,""
"Hastie Lake",2009-08-15,"","8:45","10:30",39,9,0,"","","9",0,0,0,1,""
"Hastie Lake",2010-06-24,"","8:45","9:45",23,1,1,"","","1",0,0,0,2,""
"Hastie Lake",2010-07-08,"","8:45","9:45",0,1,2,"","","1",0,0,1,0,""
"Hastie Lake",2010-07-08,"","8:45","9:45",0,1,2,"","","1",2,0,0,2,""
"Hastie Lake",2010-07-08,"","8:45","9:45",0,1,2,"","","N1",0,0,3,0,""
"Hastie Lake",2010-07-22,"","8:30","9:45",29,4,2,"","","2",0,0,0,1,""
"Hastie Lake",2010-07-22,"","8:30","9:45",29,4,2,"","","3",0,0,0,2,""
"Hastie Lake",2010-07-22,"","8:30","9:45",29,4,2,"","","4",1,0,0,0,""
"Hastie Lake",2010-07-29,"","8:30","9:45",32,5,1,"","","5",0,0,1,1,""
"Hastie Lake",2010-08-12,"","8:40","9:40",14,6,1,"","","1A",0,1,0,0,""
"Hastie Lake",2010-08-12,"","8:40","9:40",14,6,1,"","","2",0,0,0,1,""
"Hastie Lake",2010-08-19,"","8:40","9:45",7,0,0,"","","1A",0,1,0,0,""
"Hastie Lake",2010-08-26,"","8:30","9:30",1,0,0,"","","1A",2,0,0,0,""
"Hastie Lake",2011-07-07,"","8:40","9:55",22,1,1,"","","1",0,0,0,1,""
"Hastie Lake",2011-07-14,"","8:40","10:10",35,2,0,"","","2",2,0,0,0,""
"Hastie Lake",2011-07-21,"","8:40","10:15",28,2,0,"","","2",1,0,1,0,""
"Hastie Lake",2011-07-21,"","8:40","10:15",28,2,0,"","","1",1,0,1,0,""
"Hastie Lake",2011-07-28,"","8:30","10:15",20,2,0,"","","1",2,0,1,0,""
"Hastie Lake",2011-07-28,"","8:30","10:15",20,2,0,"","","2",4,0,1,0,""
"Hastie Lake",2011-08-04,"","8:45","10:00",10,2,0,"","","1",1,2,0,0,""
"Hastie Lake",2011-08-04,"","8:45","10:00",10,2,0,"","","2",1,1,0,0,""
"Hastie Lake",2011-08-18,"","8:50","10:50",12,2,0,"","","1",0,1,0,0,""
"Hastie Lake",2012-06-27,"","8:15","9:40",22,3,4,"","","1",0,0,0,1,""
"Hastie Lake",2012-06-27,"","8:15","9:40",22,3,4,"","","3",0,0,0,2,""
"Hastie Lake",2012-06-27,"","8:15","9:40",22,3,4,"","","2",0,0,0,1,""
"Hastie Lake",2012-07-05,"","8:15","9:45",28,4,0,"","","2",0,2,0,0,""
"Hastie Lake",2012-07-05,"","8:15","9:45",28,4,0,"","","3",0,0,1,0,""
"Hastie Lake",2012-07-05,"","8:15","9:45",28,4,0,"","","4",0,1,0,0,""
"Hastie Lake",2012-07-12,"","8:30","9:40",15,4,2,"","","2",0,1,0,0,""
"Hastie Lake",2012-07-12,"","8:30","9:40",15,4,2,"","","4",1,0,0,0,""
"Hastie Lake",2012-07-19,"","8:35","9:45",11,5,0,"","","5",1,0,1,0,""
"Hastie Lake",2012-07-19,"","8:35","9:45",11,5,0,"","","2",1,0,1,0,""
"Hastie Lake",2012-07-19,"","8:35","9:45",11,5,0,"","","4",2,0,0,0,""
"Hastie Lake",2012-07-26,"","8:30","10:15",14,5,1,"","","2",0,0,0,1,""
"Hastie Lake",2012-07-26,"","8:30","10:15",14,5,1,"","","5",2,0,0,0,""
"Hastie Lake",2012-08-09,"","8:30","9:40",14,5,0,"","","5",0,0,2,0,""
"Hastie Lake",2012-08-16,"","8:30","9:40",4,5,0,"","","5",0,2,0,0,""
