"year","site","week","PG_count"
2011,"Possession Point",31,29
2011,"Possession Point",32,21
2011,"Pratts Bluff",26,18
2011,"Pratts Bluff",27,28
2011,"Pratts Bluff",28,23
2011,"Pratts Bluff",29,23
2011,"Pratts Bluff",30,22
2011,"Pratts Bluff",31,30
2011,"Pratts Bluff",32,25
2011,"Rolling Hills",26,57
2011,"Rolling Hills",27,70
2011,"Rolling Hills",29,84
2011,"Rolling Hills",31,66
2011,"Rolling Hills",32,111
2011,"Shore Meadows",28,35
2011,"Shore Meadows",26,71
2011,"Shore Meadows",26,38
2011,"Shore Meadows",27,45
2011,"Shore Meadows",30,66
2011,"Shore Meadows",31,70
2011,"Shore Meadows",32,67
2011,"Swantown",26,18
2011,"Swantown",27,28
2011,"Swantown",28,27
2011,"Swantown",29,20
2011,"Swantown",30,30
2011,"Swantown",31,30
2011,"Swantown",33,16
2011,"Swantown",35,19
2012,"Cliffside",26,23
2012,"Cliffside",28,29
2012,"Cliffside",30,21
2012,"Cliffside",32,29
2012,"Double Bluff North",26,83
2012,"Double Bluff North",27,86
2012,"Double Bluff North",28,77
2012,"Double Bluff North",29,83
2012,"Double Bluff North",30,54
2012,"Double Bluff North",32,60
2012,"Double Bluff South",28,8
2012,"Double Bluff South",30,13
2012,"Forbes Point",26,24
2012,"Forbes Point",27,21
2012,"Forbes Point",28,32
2012,"Forbes Point",30,29
2012,"Forbes Point",32,31
2012,"Forbes Point",34,20
2012,"Fort Casey",26,35
2012,"Fort Casey",27,39
2012,"Fort Casey",28,31
2012,"Fort Casey",29,61
2012,"Fort Casey",30,48
2012,"Fort Casey",31,50
2012,"Hancock Lake",26,66
2012,"Hancock Lake",27,76
2012,"Hancock Lake",28,63
2012,"Hancock Lake",29,76
2012,"Hancock Lake",30,85
2012,"Hancock Lake",31,85
2012,"Hancock Lake",32,88
2012,"Hancock Lake",33,89
2012,"Harrington North",27,28
2012,"Harrington North",28,26
2012,"Harrington North",29,23
2012,"Harrington North",30,27
2012,"Harrington North",31,22
2012,"Harrington South",25,17
2012,"Harrington South",29,17
2012,"Harrington South",29,24
2012,"Harrington South",32,28
2012,"Hastie Lake",26,22
2012,"Hastie Lake",27,28
2012,"Hastie Lake",28,15
2012,"Hastie Lake",30,14
2012,"Hastie Lake",31,15
2012,"Hastie Lake",32,14
2012,"Hastie Lake North",26,12
2012,"Hastie Lake North",28,15
2012,"Hastie Lake North",29,13
2012,"Hastie Lake North",30,19
2012,"Hastie Lake North",32,24
2012,"Keystone",26,53
2012,"Keystone",27,52
2012,"Keystone",28,52
2012,"Keystone",29,58
2012,"Keystone",30,53
2012,"Keystone",31,30
2012,"Keystone",32,37
2012,"Lagoon North #1",27,46
2012,"Lagoon North #1",28,63
2012,"Lagoon North #1",29,61
2012,"Lagoon North #1",30,51
2012,"Lagoon North #1",32,82
2012,"Lagoon North #1",32,61
2012,"Lagoon North #1",33,54
2012,"Lagoon North #2",26,9
2012,"Lagoon North #2",27,14
2012,"Lagoon North #2",28,10
2012,"Lagoon North #2",29,11
2012,"Lagoon North #2",30,9
2012,"Lagoon North #2",31,7
2012,"Lagoon North #2",32,7
2012,"Lagoon North #2",33,10
2012,"Lagoon North #3",25,26
2012,"Lagoon North #3",27,34
2012,"Lagoon North #3",28,25
2012,"Lagoon North #3",29,25
2012,"Lagoon South",27,26
2012,"Lagoon South",29,34
2012,"Lagoon South",28,32
2012,"Lagoon South",26,31
2012,"Lagoon South",30,46
2012,"Lagoon South",31,39
2012,"Lagoon South",32,48
2012,"Ledgewood",27,35
2012,"Ledgewood",28,41
2012,"Ledgewood",29,42
2012,"Ledgewood",30,41
2012,"Ledgewood",31,41
2012,"Ledgewood",32,29
2012,"Ledgewood",33,39
2012,"Ledgewood",34,21
