region,site,date,start_time,PG_count,count_type,intern_data
Whidbey,Rolling Hills,7/4/12,,39,pg,on
Whidbey,Rolling Hills,7/4/12,,44,pg,on
Whidbey,Rolling Hills,7/4/12,,24,pg,on
Whidbey,Rolling Hills,7/4/12,,35,pg,on
Whidbey,Rolling Hills,7/4/12,,33,pg,on
Whidbey,Rolling Hills,7/4/12,,28,pg,on
Whidbey,Rolling Hills,7/4/12,,25,pg,on
Whidbey,Rolling Hills,7/4/12,,18,pg,on
Whidbey,Rolling Hills,7/4/12,,19,pg,on
Whidbey,Rolling Hills,7/4/12,,14,pg,on
Whidbey,Rolling Hills,7/11/12,,15,pg,on
Whidbey,Rolling Hills,7/11/12,,20,pg,on
Whidbey,Rolling Hills,7/11/12,,22,pg,on
Whidbey,Rolling Hills,7/11/12,,29,pg,on
Whidbey,Rolling Hills,7/11/12,,23,pg,on
Whidbey,Rolling Hills,7/11/12,,24,pg,on
Whidbey,Rolling Hills,7/11/12,,19,pg,on
Whidbey,Rolling Hills,7/11/12,,27,pg,on
Whidbey,Rolling Hills,7/11/12,,23,pg,on
Whidbey,Rolling Hills,7/11/12,,26,pg,on
Whidbey,Rolling Hills,7/18/12,,16,pg,on
Whidbey,Rolling Hills,7/18/12,,21,pg,on
Whidbey,Rolling Hills,7/18/12,,26,pg,on
Whidbey,Rolling Hills,7/18/12,,28,pg,on
Whidbey,Rolling Hills,7/18/12,,29,pg,on
Whidbey,Rolling Hills,7/18/12,,24,pg,on
Whidbey,Rolling Hills,7/18/12,,14,pg,on
Whidbey,Rolling Hills,7/18/12,,20,pg,on
Whidbey,Rolling Hills,7/18/12,,20,pg,on
Whidbey,Rolling Hills,7/18/12,,22,pg,on
Whidbey,Rolling Hills,7/18/12,,15,pg,on
Whidbey,Rolling Hills,7/25/12,,31,pg,on
Whidbey,Rolling Hills,7/25/12,,36,pg,on
Whidbey,Rolling Hills,7/25/12,,26,pg,on
Whidbey,Rolling Hills,7/25/12,,31,pg,on
Whidbey,Rolling Hills,7/25/12,,38,pg,on
Whidbey,Rolling Hills,7/25/12,,28,pg,on
Whidbey,Rolling Hills,7/25/12,,31,pg,on
Whidbey,Rolling Hills,7/25/12,,29,pg,on
Whidbey,Rolling Hills,7/25/12,,26,pg,on
Whidbey,Rolling Hills,7/25/12,,29,pg,on
Whidbey,Rolling Hills,7/25/12,,22,pg,on
Whidbey,Rolling Hills,8/1/12,,31,pg,on
Whidbey,Rolling Hills,8/1/12,,32,pg,on
Whidbey,Rolling Hills,8/1/12,,31,pg,on
Whidbey,Rolling Hills,8/1/12,,23,pg,on
Whidbey,Rolling Hills,8/1/12,,14,pg,on
Whidbey,Rolling Hills,8/1/12,,11,pg,on
