region,site,date,start_time,end_time,PG_count,burrow_count,burrow_visit,intern_data,qaqc,mult_count
Whidbey,Double Bluff South,7/20/17,,,8,0,0,,,
Whidbey,Double Bluff South,7/27/17,,,12,1,1,,,
Whidbey,Double Bluff South,8/3/17,,,14,0,0,,,
Whidbey,Double Bluff South,8/10/17,,,9,0,0,,,
Whidbey,Double Bluff South,8/17/17,,,8,1,1,,,
Whidbey,Double Bluff South,8/24/17,,,6,1,1,,,
Whidbey,Double Bluff South,8/31/17,,,2,0,0,,,
Whidbey,Double Bluff South,9/7/17,,,2,0,0,,,
Whidbey,Forbes Point,7/21/14,8:27,9:27,18,3,1,,,
Whidbey,Forbes Point,7/30/14,8:38,9:38,13,5,1,,,
Whidbey,Forbes Point,8/4/14,8:35,9:35,20,5,,,,
Whidbey,Forbes Point,8/14/14,8:33,9:33,19,5,1,,,
Whidbey,Forbes Point,8/19/14,8:30,9:30,1,5,,,,
Whidbey,Forbes Point,6/28/10,8:30,9:30,18,,,,,
Whidbey,Forbes Point,7/5/10,8:06,9:06,17,,,,,
Whidbey,Forbes Point,7/12/10,7:25,8:25,20,2,,,,
Whidbey,Forbes Point,7/18/10,7:43,8:43,16,3,2,,,
Whidbey,Forbes Point,7/27/10,7:36,8:36,18,5,1,,,
Whidbey,Forbes Point,8/2/10,7:56,8:56,17,5,,,,
Whidbey,Forbes Point,8/7/10,7:26,8:26,13,5,,,,
Whidbey,Forbes Point,8/16/10,7:28,8:28,22,5,,,,
Whidbey,Forbes Point,8/24/10,7:44,8:44,9,5,,,,
Whidbey,Forbes Point,6/27/11,7:30,8:30,14,,,,,
Whidbey,Forbes Point,7/4/11,7:05,8:05,27,4,6,,,
Whidbey,Forbes Point,7/11/11,7:00,8:00,11,4,,,,
Whidbey,Forbes Point,7/19/11,7:08,9:08,27,7,11,,,
Whidbey,Forbes Point,7/25/11,8:03,9:03,27,7,,,,
Whidbey,Forbes Point,8/1/11,7:04,8:04,31,8,6,,,
Whidbey,Forbes Point,8/10/11,7:05,8:05,33,8,,,,
Whidbey,Forbes Point,8/16/11,7:10,8:10,28,8,1,,,
Whidbey,Forbes Point,8/23/11,7:38,8:38,7,8,,,,
Whidbey,Forbes Point,6/26/12,7:25,9:00,24,3,6,,,
Whidbey,Forbes Point,7/4/12,7:28,8:28,21,5,10,,,
Whidbey,Forbes Point,7/10/12,7:30,8:50,32,5,1,,,
Whidbey,Forbes Point,7/17/12,7:30,8:50,12,5,3,,,
Whidbey,Forbes Point,7/24/12,7:27,8:50,29,6,,,,
Whidbey,Forbes Point,7/30/12,7:35,8:45,13,6,1,,,
Whidbey,Forbes Point,8/7/12,7:20,8:40,31,6,11,,,
Whidbey,Forbes Point,8/14/12,7:30,8:30,4,6,,,,
Whidbey,Forbes Point,8/20/12,7:30,8:30,20,6,,,,
